dt,main_temp,main_temp_min,main_temp_max,main_pressure,main_sea_level,main_grnd_level,main_humidity,main_temp_kf,weather_0_id,weather_0_main,weather_0_description,weather_0_icon,clouds_all,wind_speed,wind_deg,rain_3h,sys_pod,dt_txt
1544292000,9.47,9.47,9.76,1003.55,1011.02,1003.55,86,-0.3,500,Rain,light rain,10n,56,9.01,262.002,0.555,n,2018-12-08 18:00:00
1544302800,9.21,9.21,9.43,1003.44,1010.97,1003.44,82,-0.22,500,Rain,light rain,10n,68,8.66,271.509,0.08,n,2018-12-08 21:00:00
1544313600,8.84,8.84,8.99,1004.38,1011.88,1004.38,79,-0.15,500,Rain,light rain,10n,80,9.32,271.503,0.02,n,2018-12-09 00:00:00
1544324400,9.16,9.16,9.24,1004.87,1012.44,1004.87,77,-0.07,500,Rain,light rain,10n,88,8.76,267.5,0.0074999999999998,n,2018-12-09 03:00:00
1544335200,8.63,8.63,8.63,1005.76,1013.27,1005.76,89,0,500,Rain,light rain,10n,88,8.2,282.504,2.015,n,2018-12-09 06:00:00
1544346000,8.78,8.78,8.78,1009.41,1016.95,1009.41,85,0,500,Rain,light rain,10d,92,6.91,292.501,0.195,d,2018-12-09 09:00:00
1544356800,9.25,9.25,9.25,1014.14,1021.7,1014.14,83,0,500,Rain,light rain,10d,36,6.86,312.001,0.2,d,2018-12-09 12:00:00
1544367600,8.31,8.31,8.31,1019.1,1026.78,1019.1,80,0,800,Clear,clear sky,01d,0,7.24,313.501,0.0,d,2018-12-09 15:00:00
1544378400,6.95,6.95,6.95,1023.53,1031.27,1023.53,79,0,800,Clear,clear sky,01n,0,5.99,309.007,0.0,n,2018-12-09 18:00:00
1544389200,6.48,6.48,6.48,1026.57,1034.24,1026.57,86,0,801,Clouds,few clouds,02n,12,4.97,299.512,0.0,n,2018-12-09 21:00:00
1544400000,6.66,6.66,6.66,1028.4,1036.16,1028.4,90,0,500,Rain,light rain,10n,64,4.54,288.5,0.015,n,2018-12-10 00:00:00
1544410800,7.23,7.23,7.23,1029.3,1037.16,1029.3,84,0,500,Rain,light rain,10n,8,4.81,291.5,0.075,n,2018-12-10 03:00:00
1544421600,7.01,7.01,7.01,1030.43,1038.19,1030.43,80,0,500,Rain,light rain,10n,92,5.67,292.004,0.0099999999999998,n,2018-12-10 06:00:00
1544432400,7.45,7.45,7.45,1031.61,1039.47,1031.61,80,0,500,Rain,light rain,10d,88,5.06,297.001,0.06,d,2018-12-10 09:00:00
1544443200,7.83,7.83,7.83,1032.4,1040.16,1032.4,82,0,500,Rain,light rain,10d,92,4.86,302.001,0.185,d,2018-12-10 12:00:00
1544454000,7.97,7.97,7.97,1032.74,1040.51,1032.74,78,0,500,Rain,light rain,10d,32,3.76,299.507,0.0049999999999999,d,2018-12-10 15:00:00
1544464800,5.79,5.79,5.79,1033.37,1041.24,1033.37,82,0,801,Clouds,few clouds,02n,20,2.86,297.5,0.0,n,2018-12-10 18:00:00
1544475600,3.76,3.76,3.76,1032.98,1040.84,1032.98,97,0,803,Clouds,broken clouds,04n,64,1.37,244.501,0.0,n,2018-12-10 21:00:00
1544486400,4.01,4.01,4.01,1032.88,1040.7,1032.88,97,0,500,Rain,light rain,10n,76,1.21,202.002,0.075,n,2018-12-11 00:00:00
1544497200,4.85,4.85,4.85,1031.75,1039.62,1031.75,95,0,500,Rain,light rain,10n,92,1.31,145.506,0.175,n,2018-12-11 03:00:00
1544508000,5.22,5.22,5.22,1030.35,1038.23,1030.35,95,0,500,Rain,light rain,10n,88,2.02,162.002,0.07,n,2018-12-11 06:00:00
1544518800,6.88,6.88,6.88,1029.82,1037.66,1029.82,96,0,500,Rain,light rain,10d,92,2.66,160.001,0.335,d,2018-12-11 09:00:00
1544529600,8.65,8.65,8.65,1028.86,1036.65,1028.86,98,0,500,Rain,light rain,10d,92,2.4,172.504,1,d,2018-12-11 12:00:00
1544540400,9.67,9.67,9.67,1027.46,1035.18,1027.46,97,0,500,Rain,light rain,10d,44,2.47,182,0.165,d,2018-12-11 15:00:00
1544551200,6.65,6.65,6.65,1026.89,1034.6,1026.89,95,0,800,Clear,clear sky,02n,8,2.77,173.501,0.0,n,2018-12-11 18:00:00
1544562000,5.9,5.9,5.9,1026.09,1033.89,1026.09,99,0,803,Clouds,broken clouds,04n,68,3.2,158.501,0.0,n,2018-12-11 21:00:00
1544572800,6.82,6.82,6.82,1025.08,1032.81,1025.08,97,0,803,Clouds,broken clouds,04n,80,3.51,155.503,0.0,n,2018-12-12 00:00:00
1544583600,7.09,7.09,7.09,1024.92,1032.57,1024.92,96,0,804,Clouds,overcast clouds,04n,88,3.46,161.501,0.0,n,2018-12-12 03:00:00
1544594400,7.04,7.04,7.04,1024.59,1032.31,1024.59,96,0,500,Rain,light rain,10n,92,3.61,155.501,0.05,n,2018-12-12 06:00:00
1544605200,6.83,6.83,6.83,1025.15,1032.86,1025.15,92,0,500,Rain,light rain,10d,92,3.87,157.501,0.04,d,2018-12-12 09:00:00
1544616000,7.68,7.68,7.68,1025.27,1032.92,1025.27,87,0,803,Clouds,broken clouds,04d,80,3.91,157.001,0.0,d,2018-12-12 12:00:00
1544626800,7.21,7.21,7.21,1024.86,1032.56,1024.86,82,0,801,Clouds,few clouds,02d,24,3.76,155.001,0.0,d,2018-12-12 15:00:00
1544637600,5.59,5.59,5.59,1024.82,1032.51,1024.82,79,0,500,Rain,light rain,10n,48,3.76,148.004,0.03,n,2018-12-12 18:00:00
1544648400,5.65,5.65,5.65,1024.75,1032.49,1024.75,82,0,500,Rain,light rain,10n,76,3.76,152.501,0.13,n,2018-12-12 21:00:00
1544659200,6,6,6,1023.68,1031.46,1023.68,87,0,500,Rain,light rain,10n,76,3.86,155.502,0.11,n,2018-12-13 00:00:00
1544670000,6.68,6.68,6.68,1022.28,1030.02,1022.28,93,0,500,Rain,light rain,10n,92,3.71,157.002,0.11,n,2018-12-13 03:00:00
1544680800,7.53,7.53,7.53,1020.39,1028.17,1020.39,97,0,500,Rain,light rain,10n,64,3.86,158.502,0.21,n,2018-12-13 06:00:00
1544691600,8.37,8.37,8.37,1018.36,1025.91,1018.36,96,0,500,Rain,light rain,10d,92,5.01,168.503,0.66,d,2018-12-13 09:00:00
1544702400,9.77,9.77,9.77,1014.85,1022.52,1014.85,97,0,500,Rain,light rain,10d,92,6.26,177.502,1.63,d,2018-12-13 12:00:00
1544713200,10.63,10.63,10.63,1010.74,1018.31,1010.74,98,0,500,Rain,light rain,10d,92,5.73,184,1.14,d,2018-12-13 15:00:00
